#FORMAT=WebAnno TSV 3.2


#Text=Ngư dân suýt mất mạng khi cá mũi kiếm bay sượt đầu Con cá mũi kiếm (còn được gọi là cá cờ) bất ngờ tung mình qua mạn tàu và bay sượt qua người một ngư dân. Rất may người này đã thoát chết trong gang tấc khi kịp cúi người để né chiếc mõm nhọn như mũi lao của con cá này.
1-1	0-3	Ngư	
1-2	4-7	dân	
1-3	8-12	suýt	
1-4	13-16	mất	
1-5	17-21	mạng	
1-6	22-25	khi	
1-7	26-28	cá	
1-8	29-32	mũi	
1-9	33-37	kiếm	
1-10	38-41	bay	
1-11	42-46	sượt	
1-12	47-50	đầu	
1-13	51-54	Con	
1-14	55-57	cá	
1-15	58-61	mũi	
1-16	62-66	kiếm	
1-17	67-71	(còn	
1-18	72-76	được	
1-19	77-80	gọi	
1-20	81-83	là	
1-21	84-86	cá	
1-22	87-90	cờ)	
1-23	91-94	bất	
1-24	95-98	ngờ	
1-25	99-103	tung	
1-26	104-108	mình	
1-27	109-112	qua	
1-28	113-116	mạn	
1-29	117-120	tàu	
1-30	121-123	và	
1-31	124-127	bay	
1-32	128-132	sượt	
1-33	133-136	qua	
1-34	137-142	người	
1-35	143-146	một	
1-36	147-150	ngư	
1-37	151-155	dân.	
1-38	156-159	Rất	
1-39	160-163	may	
1-40	164-169	người	
1-41	170-173	này	
1-42	174-176	đã	
1-43	177-182	thoát	
1-44	183-187	chết	
1-45	188-193	trong	
1-46	194-198	gang	
1-47	199-202	tấc	
1-48	203-206	khi	
1-49	207-210	kịp	
1-50	211-214	cúi	
1-51	215-220	người	
1-52	221-223	để	
1-53	224-226	né	
1-54	227-232	chiếc	
1-55	233-236	mõm	
1-56	237-241	nhọn	
1-57	242-245	như	
1-58	246-249	mũi	
1-59	250-253	lao	
1-60	254-257	của	
1-61	258-261	con	
1-62	262-264	cá	
1-63	265-269	này.	
