#FORMAT=WebAnno TSV 3.2


#Text=Cười rơi hàm với loạt ảnh 'ngày xưa đi xem bói' Thím nào muốn biết số phận sau này ra sao thì hãy thử đi xem bói nhé, chuẩn không cần chỉnh luôn. Tương lai là phi hành gia. Thầy phán chỉ có chuẩn. Chỉ muốn đi tìm ông thầy bói ngày xưa. Ối giời, chuẩn không thèm chỉnh luôn nhá. Chuẩn thế này thì tìm thầy bói trả ơn thôi còn gì nữa. Thầy phán quá chuẩn. Ước gì được gặp lại ông thầy bói ngày xưa. Đúng như thầy phán rồi nhé. Có khi phải hơn cả lời thầy phán ấy chứ. Số phận rồi, chấp nhận thôi. Bây giờ thì đè đầu thiên hạ không mỏi tay nhé. Đúng là có chỗ đứng cao thật. Sáng chói lòa luôn các ông ạ. Hẳn là vàng đầy kho luôn nhá. Có sai tí nào đâu.
1-1	0-4	Cười	
1-2	5-8	rơi	
1-3	9-12	hàm	
1-4	13-16	với	
1-5	17-21	loạt	
1-6	22-25	ảnh	
1-7	26-31	'ngày	
1-8	32-35	xưa	
1-9	36-38	đi	
1-10	39-42	xem	
1-11	43-47	bói'	
1-12	48-52	Thím	
1-13	53-56	nào	
1-14	57-61	muốn	
1-15	62-66	biết	
1-16	67-69	số	
1-17	70-74	phận	
1-18	75-78	sau	
1-19	79-82	này	
1-20	83-85	ra	
1-21	86-89	sao	
1-22	90-93	thì	
1-23	94-97	hãy	
1-24	98-101	thử	
1-25	102-104	đi	
1-26	105-108	xem	
1-27	109-112	bói	
1-28	113-117	nhé,	
1-29	118-123	chuẩn	
1-30	124-129	không	
1-31	130-133	cần	
1-32	134-139	chỉnh	
1-33	140-145	luôn.	
1-34	146-151	Tương	
1-35	152-155	lai	
1-36	156-158	là	
1-37	159-162	phi	
1-38	163-167	hành	
1-39	168-172	gia.	
1-40	173-177	Thầy	
1-41	178-182	phán	
1-42	183-186	chỉ	
1-43	187-189	có	
1-44	190-196	chuẩn.	
1-45	197-200	Chỉ	
1-46	201-205	muốn	
1-47	206-208	đi	
1-48	209-212	tìm	
1-49	213-216	ông	
1-50	217-221	thầy	
1-51	222-225	bói	
1-52	226-230	ngày	
1-53	231-235	xưa.	
1-54	236-238	Ối	
1-55	239-244	giời,	
1-56	245-250	chuẩn	
1-57	251-256	không	
1-58	257-261	thèm	
1-59	262-267	chỉnh	
1-60	268-272	luôn	
1-61	273-277	nhá.	
1-62	278-283	Chuẩn	
1-63	284-287	thế	
1-64	288-291	này	
1-65	292-295	thì	
1-66	296-299	tìm	
1-67	300-304	thầy	
1-68	305-308	bói	
1-69	309-312	trả	
1-70	313-315	ơn	
1-71	316-320	thôi	
1-72	321-324	còn	
1-73	325-327	gì	
1-74	328-332	nữa.	
1-75	333-337	Thầy	
1-76	338-342	phán	
1-77	343-346	quá	
1-78	347-353	chuẩn.	
1-79	354-357	Ước	
1-80	358-360	gì	
1-81	361-365	được	
1-82	366-369	gặp	
1-83	370-373	lại	
1-84	374-377	ông	
1-85	378-382	thầy	
1-86	383-386	bói	
1-87	387-391	ngày	
1-88	392-396	xưa.	
1-89	397-401	Đúng	
1-90	402-405	như	
1-91	406-410	thầy	
1-92	411-415	phán	
1-93	416-419	rồi	
1-94	420-424	nhé.	
1-95	425-427	Có	
1-96	428-431	khi	
1-97	432-436	phải	
1-98	437-440	hơn	
1-99	441-443	cả	
1-100	444-447	lời	
1-101	448-452	thầy	
1-102	453-457	phán	
1-103	458-460	ấy	
1-104	461-465	chứ.	
1-105	466-468	Số	
1-106	469-473	phận	
1-107	474-478	rồi,	
1-108	479-483	chấp	
1-109	484-488	nhận	
1-110	489-494	thôi.	
1-111	495-498	Bây	
1-112	499-502	giờ	
1-113	503-506	thì	
1-114	507-509	đè	
1-115	510-513	đầu	
1-116	514-519	thiên	
1-117	520-522	hạ	
1-118	523-528	không	
1-119	529-532	mỏi	
1-120	533-536	tay	
1-121	537-541	nhé.	
1-122	542-546	Đúng	
1-123	547-549	là	
1-124	550-552	có	
1-125	553-556	chỗ	
1-126	557-561	đứng	
1-127	562-565	cao	
1-128	566-571	thật.	
1-129	572-576	Sáng	
1-130	577-581	chói	
1-131	582-585	lòa	
1-132	586-590	luôn	
1-133	591-594	các	
1-134	595-598	ông	
1-135	599-601	ạ.	
1-136	602-605	Hẳn	
1-137	606-608	là	
1-138	609-613	vàng	
1-139	614-617	đầy	
1-140	618-621	kho	
1-141	622-626	luôn	
1-142	627-631	nhá.	
1-143	632-634	Có	
1-144	635-638	sai	
1-145	639-641	tí	
1-146	642-645	nào	
1-147	646-650	đâu.	
