#FORMAT=WebAnno TSV 3.2


#Text=Clip: Đừng dại dột khiến phụ nữ... nóng mắt nhé Rơi vào tình huống này thì có người phụ nữ nào mà không "nóng mắt" cho được cơ chứ.
1-1	0-5	Clip:	
1-2	6-10	Đừng	
1-3	11-14	dại	
1-4	15-18	dột	
1-5	19-24	khiến	
1-6	25-28	phụ	
1-7	29-34	nữ...	
1-8	35-39	nóng	
1-9	40-43	mắt	
1-10	44-47	nhé	
1-11	48-51	Rơi	
1-12	52-55	vào	
1-13	56-60	tình	
1-14	61-66	huống	
1-15	67-70	này	
1-16	71-74	thì	
1-17	75-77	có	
1-18	78-83	người	
1-19	84-87	phụ	
1-20	88-90	nữ	
1-21	91-94	nào	
1-22	95-97	mà	
1-23	98-103	không	
1-24	104-109	"nóng	
1-25	110-114	mắt"	
1-26	115-118	cho	
1-27	119-123	được	
1-28	124-126	cơ	
1-29	127-131	chứ.	
