#FORMAT=WebAnno TSV 3.2


#Text=Ứng dụng giúp chặn những vị khách xài chùa WiFi Netcut cho phép bạn ngăn chặn những vị khách xài chùa WiFi chỉ với vài thao tác đơn giản, ngoài ra ứng dụng còn hỗ trợ kiểm tra tốc độ, băng thông, thay đổi địa chỉ MAC... Để ngăn chặn tình trạng bạn bè, hàng xóm hoặc những người xài ké WiFi tải phim, tải phần mềm... làm ảnh hưởng đến tốc độ Internet, bạn hãy cài đặt ứng dụng NetCut tại địa chỉ http://www.arcai.com/downloads/ và lựa chọn phiên bản tương ứng. Trong khuôn khổ bài viết này, chúng ta chỉ cần quan tâm đến bản cài đặt dành cho máy tính chạy Windows. Khi hoàn tất, NetCut sẽ tự động quét toàn bộ thiết bị trong mạng và liệt kê thông tin tương ứng đơn cử như địa chỉ IP, tên máy chủ, địa chỉ MAC… Nếu thấy xuất hiện thiết bị lạ, người dùng chỉ cần nhấn Cut Off để chặn truy cập Internet. Phương pháp này tương đối đơn giản hơn so với việc ngăn chặn những người dùng truy cập WiFi trái phép bằng địa chỉ MAC. Bên cạnh đó, ứng dụng còn có khả năng bảo vệ những máy tính đang kết nối WiFi, mạng nội bộ (LAN) và rất nhiều tính năng khác mà bạn có thể tìm hiểu thêm trong quá trình sử dụng. Nếu cảm thấy hữu ích, bạn đừng quên chia sẻ bài viết cho nhiều người cùng biết hoặc để lại bình luận khi gặp rắc rối trong quá trình sử dụng.
1-1	0-3	Ứng	
1-2	4-8	dụng	
1-3	9-13	giúp	
1-4	14-18	chặn	
1-5	19-24	những	
1-6	25-27	vị	
1-7	28-33	khách	
1-8	34-37	xài	
1-9	38-42	chùa	
1-10	43-47	WiFi	
1-11	48-54	Netcut	
1-12	55-58	cho	
1-13	59-63	phép	
1-14	64-67	bạn	
1-15	68-72	ngăn	
1-16	73-77	chặn	
1-17	78-83	những	
1-18	84-86	vị	
1-19	87-92	khách	
1-20	93-96	xài	
1-21	97-101	chùa	
1-22	102-106	WiFi	
1-23	107-110	chỉ	
1-24	111-114	với	
1-25	115-118	vài	
1-26	119-123	thao	
1-27	124-127	tác	
1-28	128-131	đơn	
1-29	132-137	giản,	
1-30	138-143	ngoài	
1-31	144-146	ra	
1-32	147-150	ứng	
1-33	151-155	dụng	
1-34	156-159	còn	
1-35	160-162	hỗ	
1-36	163-166	trợ	
1-37	167-171	kiểm	
1-38	172-175	tra	
1-39	176-179	tốc	
1-40	180-183	độ,	
1-41	184-188	băng	
1-42	189-195	thông,	
1-43	196-200	thay	
1-44	201-204	đổi	
1-45	205-208	địa	
1-46	209-212	chỉ	
1-47	213-219	MAC...	
1-48	220-222	Để	
1-49	223-227	ngăn	
1-50	228-232	chặn	
1-51	233-237	tình	
1-52	238-243	trạng	
1-53	244-247	bạn	
1-54	248-251	bè,	
1-55	252-256	hàng	
1-56	257-260	xóm	
1-57	261-265	hoặc	
1-58	266-271	những	
1-59	272-277	người	
1-60	278-281	xài	
1-61	282-284	ké	
1-62	285-289	WiFi	
1-63	290-293	tải	
1-64	294-299	phim,	
1-65	300-303	tải	
1-66	304-308	phần	
1-67	309-315	mềm...	
1-68	316-319	làm	
1-69	320-323	ảnh	
1-70	324-329	hưởng	
1-71	330-333	đến	
1-72	334-337	tốc	
1-73	338-340	độ	
1-74	341-350	Internet,	
1-75	351-354	bạn	
1-76	355-358	hãy	
1-77	359-362	cài	
1-78	363-366	đặt	
1-79	367-370	ứng	
1-80	371-375	dụng	
1-81	376-382	NetCut	
1-82	383-386	tại	
1-83	387-390	địa	
1-84	391-394	chỉ	
1-85	395-426	http://www.arcai.com/downloads/	
1-86	427-429	và	
1-87	430-433	lựa	
1-88	434-438	chọn	
1-89	439-444	phiên	
1-90	445-448	bản	
1-91	449-454	tương	
1-92	455-459	ứng.	
1-93	460-465	Trong	
1-94	466-471	khuôn	
1-95	472-475	khổ	
1-96	476-479	bài	
1-97	480-484	viết	
1-98	485-489	này,	
1-99	490-495	chúng	
1-100	496-498	ta	
1-101	499-502	chỉ	
1-102	503-506	cần	
1-103	507-511	quan	
1-104	512-515	tâm	
1-105	516-519	đến	
1-106	520-523	bản	
1-107	524-527	cài	
1-108	528-531	đặt	
1-109	532-536	dành	
1-110	537-540	cho	
1-111	541-544	máy	
1-112	545-549	tính	
1-113	550-554	chạy	
1-114	555-563	Windows.	
1-115	564-567	Khi	
1-116	568-572	hoàn	
1-117	573-577	tất,	
1-118	578-584	NetCut	
1-119	585-587	sẽ	
1-120	588-590	tự	
1-121	591-595	động	
1-122	596-600	quét	
1-123	601-605	toàn	
1-124	606-608	bộ	
1-125	609-614	thiết	
1-126	615-617	bị	
1-127	618-623	trong	
1-128	624-628	mạng	
1-129	629-631	và	
1-130	632-636	liệt	
1-131	637-639	kê	
1-132	640-645	thông	
1-133	646-649	tin	
1-134	650-655	tương	
1-135	656-659	ứng	
1-136	660-663	đơn	
1-137	664-666	cử	
1-138	667-670	như	
1-139	671-674	địa	
1-140	675-678	chỉ	
1-141	679-682	IP,	
1-142	683-686	tên	
1-143	687-690	máy	
1-144	691-695	chủ,	
1-145	696-699	địa	
1-146	700-703	chỉ	
1-147	704-708	MAC…	
1-148	709-712	Nếu	
1-149	713-717	thấy	
1-150	718-722	xuất	
1-151	723-727	hiện	
1-152	728-733	thiết	
1-153	734-736	bị	
1-154	737-740	lạ,	
1-155	741-746	người	
1-156	747-751	dùng	
1-157	752-755	chỉ	
1-158	756-759	cần	
1-159	760-764	nhấn	
1-160	765-768	Cut	
1-161	769-772	Off	
1-162	773-775	để	
1-163	776-780	chặn	
1-164	781-785	truy	
1-165	786-789	cập	
1-166	790-799	Internet.	
1-167	800-806	Phương	
1-168	807-811	pháp	
1-169	812-815	này	
1-170	816-821	tương	
1-171	822-825	đối	
1-172	826-829	đơn	
1-173	830-834	giản	
1-174	835-838	hơn	
1-175	839-841	so	
1-176	842-845	với	
1-177	846-850	việc	
1-178	851-855	ngăn	
1-179	856-860	chặn	
1-180	861-866	những	
1-181	867-872	người	
1-182	873-877	dùng	
1-183	878-882	truy	
1-184	883-886	cập	
1-185	887-891	WiFi	
1-186	892-896	trái	
1-187	897-901	phép	
1-188	902-906	bằng	
1-189	907-910	địa	
1-190	911-914	chỉ	
1-191	915-919	MAC.	
1-192	920-923	Bên	
1-193	924-928	cạnh	
1-194	929-932	đó,	
1-195	933-936	ứng	
1-196	937-941	dụng	
1-197	942-945	còn	
1-198	946-948	có	
1-199	949-952	khả	
1-200	953-957	năng	
1-201	958-961	bảo	
1-202	962-964	vệ	
1-203	965-970	những	
1-204	971-974	máy	
1-205	975-979	tính	
1-206	980-984	đang	
1-207	985-988	kết	
1-208	989-992	nối	
1-209	993-998	WiFi,	
1-210	999-1003	mạng	
1-211	1004-1007	nội	
1-212	1008-1010	bộ	
1-213	1011-1016	(LAN)	
1-214	1017-1019	và	
1-215	1020-1023	rất	
1-216	1024-1029	nhiều	
1-217	1030-1034	tính	
1-218	1035-1039	năng	
1-219	1040-1044	khác	
1-220	1045-1047	mà	
1-221	1048-1051	bạn	
1-222	1052-1054	có	
1-223	1055-1058	thể	
1-224	1059-1062	tìm	
1-225	1063-1067	hiểu	
1-226	1068-1072	thêm	
1-227	1073-1078	trong	
1-228	1079-1082	quá	
1-229	1083-1088	trình	
1-230	1089-1091	sử	
