#FORMAT=WebAnno TSV 3.2


#Text=Cách khắc phục lỗi Facebook Messenger trên nhiều iPhone, iPad Cách khắc phục lỗi Facebook Messenger trên nhiều iPhone, iPad sử dụng IOS 10, IOS 11. Hôm nay (23/9) nhiều người dùng facebook đã tỏ ra rất khó chịu khi ứng dụng Facebook Messenger trên iPhone và iPad liên tục bị văng ra ngoài, chỉ sau khi khởi chạy được vài giây. Không chỉ ở Việt Nam, nhiều người dùng Messenger trên thế giới cũng than phiền về lỗi không sử dụng được trên iOS. Các trường hợp gặp lỗi thường là các thiết bị cũ (từ iPhone 5S cho đến iPhone 7 Plus) đang chạy iOS 10 và iOS 11. Còn những người dùng IOS 9 không gặp phải trường hợp trên. Nguồn video: Zing Để khắc phục được lỗi này người dùng facebook có thể áp dụng theo cách xoá cả ứng dụng Facebook và Messenger trên iOS, sau đó cài đặt lại cả hai, nhưng mở ứng dụng Facebook rồi mới nhấn vào biểu tượng nhắn tin để chuyển sang Messenger.
1-1	0-4	Cách	
1-2	5-9	khắc	
1-3	10-14	phục	
1-4	15-18	lỗi	
1-5	19-27	Facebook	
1-6	28-37	Messenger	
1-7	38-42	trên	
1-8	43-48	nhiều	
1-9	49-56	iPhone,	
1-10	57-61	iPad	
1-11	62-66	Cách	
1-12	67-71	khắc	
1-13	72-76	phục	
1-14	77-80	lỗi	
1-15	81-89	Facebook	
1-16	90-99	Messenger	
1-17	100-104	trên	
1-18	105-110	nhiều	
1-19	111-118	iPhone,	
1-20	119-123	iPad	
1-21	124-126	sử	
1-22	127-131	dụng	
1-23	132-135	IOS	
1-24	136-139	10,	
1-25	140-143	IOS	
1-26	144-147	11.	
1-27	148-151	Hôm	
1-28	152-155	nay	
1-29	156-162	(23/9)	
1-30	163-168	nhiều	
1-31	169-174	người	
1-32	175-179	dùng	
1-33	180-188	facebook	
1-34	189-191	đã	
1-35	192-194	tỏ	
1-36	195-197	ra	
1-37	198-201	rất	
1-38	202-205	khó	
1-39	206-210	chịu	
1-40	211-214	khi	
1-41	215-218	ứng	
1-42	219-223	dụng	
1-43	224-232	Facebook	
1-44	233-242	Messenger	
1-45	243-247	trên	
1-46	248-254	iPhone	
1-47	255-257	và	
1-48	258-262	iPad	
1-49	263-267	liên	
1-50	268-271	tục	
1-51	272-274	bị	
1-52	275-279	văng	
1-53	280-282	ra	
1-54	283-289	ngoài,	
1-55	290-293	chỉ	
1-56	294-297	sau	
1-57	298-301	khi	
1-58	302-306	khởi	
1-59	307-311	chạy	
1-60	312-316	được	
1-61	317-320	vài	
1-62	321-326	giây.	
1-63	327-332	Không	
1-64	333-336	chỉ	
1-65	337-338	ở	
1-66	339-343	Việt	
1-67	344-348	Nam,	
1-68	349-354	nhiều	
1-69	355-360	người	
1-70	361-365	dùng	
1-71	366-375	Messenger	
1-72	376-380	trên	
1-73	381-384	thế	
1-74	385-389	giới	
1-75	390-394	cũng	
1-76	395-399	than	
1-77	400-405	phiền	
1-78	406-408	về	
1-79	409-412	lỗi	
1-80	413-418	không	
1-81	419-421	sử	
1-82	422-426	dụng	
1-83	427-431	được	
1-84	432-436	trên	
1-85	437-441	iOS.	
1-86	442-445	Các	
1-87	446-452	trường	
1-88	453-456	hợp	
1-89	457-460	gặp	
1-90	461-464	lỗi	
1-91	465-471	thường	
1-92	472-474	là	
1-93	475-478	các	
1-94	479-484	thiết	
1-95	485-487	bị	
1-96	488-490	cũ	
1-97	491-494	(từ	
1-98	495-501	iPhone	
1-99	502-504	5S	
1-100	505-508	cho	
1-101	509-512	đến	
1-102	513-519	iPhone	
1-103	520-521	7	
1-104	522-527	Plus)	
1-105	528-532	đang	
1-106	533-537	chạy	
1-107	538-541	iOS	
1-108	542-544	10	
1-109	545-547	và	
1-110	548-551	iOS	
1-111	552-555	11.	
1-112	556-559	Còn	
1-113	560-565	những	
1-114	566-571	người	
1-115	572-576	dùng	
1-116	577-580	IOS	
1-117	581-582	9	
1-118	583-588	không	
1-119	589-592	gặp	
1-120	593-597	phải	
1-121	598-604	trường	
1-122	605-608	hợp	
1-123	609-614	trên.	
1-124	615-620	Nguồn	
1-125	621-627	video:	
1-126	628-632	Zing	
1-127	633-635	Để	
1-128	636-640	khắc	
1-129	641-645	phục	
1-130	646-650	được	
1-131	651-654	lỗi	
1-132	655-658	này	
1-133	659-664	người	
1-134	665-669	dùng	
1-135	670-678	facebook	
1-136	679-681	có	
1-137	682-685	thể	
1-138	686-688	áp	
1-139	689-693	dụng	
1-140	694-698	theo	
1-141	699-703	cách	
1-142	704-707	xoá	
1-143	708-710	cả	
1-144	711-714	ứng	
1-145	715-719	dụng	
1-146	720-728	Facebook	
1-147	729-731	và	
1-148	732-741	Messenger	
1-149	742-746	trên	
1-150	747-751	iOS,	
1-151	752-755	sau	
1-152	756-758	đó	
1-153	759-762	cài	
1-154	763-766	đặt	
1-155	767-770	lại	
1-156	771-773	cả	
1-157	774-778	hai,	
1-158	779-784	nhưng	
1-159	785-787	mở	
1-160	788-791	ứng	
1-161	792-796	dụng	
1-162	797-805	Facebook	
1-163	806-809	rồi	
1-164	810-813	mới	
1-165	814-818	nhấn	
1-166	819-822	vào	
1-167	823-827	biểu	
1-168	828-833	tượng	
1-169	834-838	nhắn	
1-170	839-842	tin	
1-171	843-845	để	
1-172	846-852	chuyển	
1-173	853-857	sang	
1-174	858-868	Messenger.	
