#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.chunk.Chunk|chunkValue
#T_RL=webanno.custom.VLSPRelationextraction|relation|BT_de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity


#Text=Hoa khôi nữ sinh Việt ở Melbourne Cuộc thi do LAVISA (<ENAMEX TYPE="ORGANIZATION">Hội sinh viên Việt Nam tại đại học La Trobe </ENAMEX>) tổ chức, dành cho nữ sinh Việt Nam sinh sống, học tập và làm việc tại thành phố Melbourne , Úc . Đêm chung kết cuộc thi Hoa khôi nữ sinh Việt ở Mebourne (VMISS of Mebourne ) diễn ra 8/10 tới. Cuộc thi do LAVISA (<ENAMEX TYPE="ORGANIZATION">Hội sinh viên Việt Nam tại đại học La Trobe </ENAMEX>) tổ chức, dành cho nữ sinh Việt Nam sinh sống, học tập và làm việc tại thành phố Melbourne , Úc . Một phần mục đích cuộc thi nhằm giới thiệu, quảng bá hình ảnh đất nước, con người Việt Nam đến quốc tế. Cuộc thi cũng là sân chơi giúp sinh viên du học sinh thúc đẩy các mối quan hệ thân thiết trong cộng đồng người Việt tại Úc . VMISS phát động từ 25/7/2017, tiếp nhận hơn 45 đăng kí từ khắp các trường đại học toàn Melbourne . Hôm thi vòng đầu tiên ‘Thử thách Ngoài trời” tạo hình trước ống kính với chiếc nón lá truyền thống, thời tiết không được thuận lợi nhưng các thí sinh đã hoàn thành tốt phần, kết quả chọn được 12 thí sinh vào bán kết và cuối cùng là 8 cô gái tham gia vòng chung kết 8/10 tới. Ban giám khảo đêm chung kết gồm 5 vị: Bà Minh Tâm (nguyên thư ký tòa soạn báo Lao Động ); ông Trình Lê (phóng viên đài SBS Australia ); chị Nina Nguyễn (Hoa hậu Việt Nam tại Úc 2014); chị Ha Young Chul (nữ doanh nhân thành đạt người Hàn Quốc ) và anh Minh Trường (MC nổi tiếng tại Úc ). Việt Hà
1-1	0-3	Hoa	_	_	_	_	_	
1-2	4-8	khôi	_	_	_	_	_	
1-3	9-11	nữ	*[1]	MISCELLANEOUS[1]	_	_	_	
1-4	12-16	sinh	*[1]	MISCELLANEOUS[1]	_	_	_	
1-5	17-21	Việt	*[1]	MISCELLANEOUS[1]	_	_	_	
1-6	22-23	ở	_	_	_	_	_	
1-7	24-33	Melbourne	*	LOCATION	_	_	_	
1-8	34-38	Cuộc	_	_	_	_	_	
1-9	39-42	thi	_	_	_	_	_	
1-10	43-45	do	_	_	_	_	_	
1-11	46-52	LAVISA	*	ORGANIZATION	_	_	_	
1-12	53-61	(<ENAMEX	_	_	*	_	_	
1-13	62-85	TYPE="ORGANIZATION">Hội	_	_	_	_	_	
1-13.1	82-85	Hội	*[2]	ORGANIZATION[2]	_	AFFILIATION	1-11[0_2]	
1-14	86-90	sinh	*[2]	ORGANIZATION[2]	_	_	_	
1-15	91-95	viên	*[2]	ORGANIZATION[2]	_	_	_	
1-16	96-100	Việt	*[2]	ORGANIZATION[2]	_	_	_	
1-17	101-104	Nam	*[2]	ORGANIZATION[2]	_	_	_	
1-18	105-108	tại	*[2]	ORGANIZATION[2]	_	_	_	
1-19	109-112	đại	*[2]	ORGANIZATION[2]	_	_	_	
1-20	113-116	học	*[2]	ORGANIZATION[2]	_	_	_	
1-21	117-119	La	*[2]	ORGANIZATION[2]	_	_	_	
1-22	120-125	Trobe	*[2]	ORGANIZATION[2]	_	_	_	
1-23	126-136	</ENAMEX>)	*	*	_	_	_	
1-23.1	126-135	</ENAMEX>	*	*	_	_	_	
1-24	137-139	tổ	_	_	_	_	_	
1-25	140-145	chức,	_	_	_	_	_	
1-26	146-150	dành	_	_	_	_	_	
1-27	151-154	cho	_	_	_	_	_	
1-28	155-157	nữ	_	_	_	_	_	
1-29	158-162	sinh	_	_	_	_	_	
1-30	163-167	Việt	*[3]	LOCATION[3]	_	_	_	
1-31	168-171	Nam	*[3]	LOCATION[3]	_	_	_	
1-32	172-176	sinh	_	_	_	_	_	
1-33	177-182	sống,	_	_	_	_	_	
1-34	183-186	học	_	_	_	_	_	
1-35	187-190	tập	_	_	_	_	_	
1-36	191-193	và	_	_	_	_	_	
1-37	194-197	làm	_	_	_	_	_	
1-38	198-202	việc	_	_	_	_	_	
1-39	203-206	tại	_	_	_	_	_	
1-40	207-212	thành	*[4]	LOCATION[4]	_	_	_	
1-41	213-216	phố	*[4]	LOCATION[4]	_	_	_	
1-42	217-226	Melbourne	*[4]	LOCATION[4]	_	_	_	
1-43	227-228	,	_	_	_	_	_	
1-44	229-231	Úc	*	LOCATION	_	PART – WHOLE	1-40[4_0]	
1-45	232-233	.	_	_	_	_	_	
1-46	234-237	Đêm	_	_	_	_	_	
1-47	238-243	chung	_	_	_	_	_	
1-48	244-247	kết	_	_	_	_	_	
1-49	248-252	cuộc	_	_	_	_	_	
1-50	253-256	thi	_	_	_	_	_	
1-51	257-260	Hoa	_	_	_	_	_	
1-52	261-265	khôi	_	_	_	_	_	
1-53	266-268	nữ	*[5]	MISCELLANEOUS[5]	_	_	_	
1-54	269-273	sinh	*[5]	MISCELLANEOUS[5]	_	_	_	
1-55	274-278	Việt	*[5]	MISCELLANEOUS[5]	_	_	_	
1-56	279-280	ở	_	_	_	_	_	
1-57	281-289	Mebourne	*	LOCATION	_	_	_	
1-58	290-296	(VMISS	*[6]	MISCELLANEOUS[6]	_	_	_	
1-59	297-299	of	*[6]	MISCELLANEOUS[6]	_	_	_	
1-60	300-308	Mebourne	*[6]	MISCELLANEOUS[6]	_	_	_	
1-61	309-310	)	_	_	_	_	_	
1-62	311-315	diễn	_	_	_	_	_	
1-63	316-318	ra	_	_	_	_	_	
1-64	319-323	8/10	_	_	_	_	_	
1-65	324-328	tới.	_	_	_	_	_	
1-66	329-333	Cuộc	_	_	_	_	_	
1-67	334-337	thi	_	_	_	_	_	
1-68	338-340	do	_	_	_	_	_	
1-69	341-347	LAVISA	*	ORGANIZATION	_	_	_	
1-70	348-356	(<ENAMEX	_	_	_	_	_	
1-71	357-380	TYPE="ORGANIZATION">Hội	_	_	_	_	_	
1-71.1	377-380	Hội	*[7]	ORGANIZATION[7]	_	_	_	
1-72	381-385	sinh	*[7]	ORGANIZATION[7]	_	_	_	
1-73	386-390	viên	*[7]	ORGANIZATION[7]	_	_	_	
1-74	391-395	Việt	*[7]	ORGANIZATION[7]	_	_	_	
1-75	396-399	Nam	*[7]	ORGANIZATION[7]	_	_	_	
1-76	400-403	tại	_	_	_	_	_	
1-77	404-407	đại	*[8]	ORGANIZATION[8]	_	PART – WHOLE	1-71.1[7_8]	
1-78	408-411	học	*[8]	ORGANIZATION[8]	_	_	_	
1-79	412-414	La	*[8]	ORGANIZATION[8]	_	_	_	
1-80	415-420	Trobe	*[8]	ORGANIZATION[8]	_	_	_	
1-81	421-431	</ENAMEX>)	_	_	_	_	_	
1-82	432-434	tổ	_	_	_	_	_	
1-83	435-440	chức,	_	_	_	_	_	
1-84	441-445	dành	_	_	_	_	_	
1-85	446-449	cho	_	_	_	_	_	
1-86	450-452	nữ	_	_	_	_	_	
1-87	453-457	sinh	_	_	_	_	_	
1-88	458-462	Việt	*[9]	LOCATION[9]	_	_	_	
1-89	463-466	Nam	*[9]	LOCATION[9]	_	_	_	
1-90	467-471	sinh	_	_	_	_	_	
1-91	472-477	sống,	_	_	_	_	_	
1-92	478-481	học	_	_	_	_	_	
1-93	482-485	tập	_	_	_	_	_	
1-94	486-488	và	_	_	_	_	_	
1-95	489-492	làm	_	_	_	_	_	
1-96	493-497	việc	_	_	_	_	_	
1-97	498-501	tại	_	_	_	_	_	
1-98	502-507	thành	*[10]	LOCATION[10]	_	_	_	
1-99	508-511	phố	*[10]	LOCATION[10]	_	_	_	
1-100	512-521	Melbourne	*[10]	LOCATION[10]	_	_	_	
1-101	522-523	,	_	_	_	_	_	
1-102	524-526	Úc	*	LOCATION	_	PART – WHOLE	1-98[10_0]	
1-103	527-528	.	_	_	_	_	_	
1-104	529-532	Một	_	_	_	_	_	
1-105	533-537	phần	_	_	_	_	_	
1-106	538-541	mục	_	_	_	_	_	
1-107	542-546	đích	_	_	_	_	_	
1-108	547-551	cuộc	_	_	_	_	_	
1-109	552-555	thi	_	_	_	_	_	
1-110	556-560	nhằm	_	_	_	_	_	
1-111	561-565	giới	_	_	_	_	_	
1-112	566-572	thiệu,	_	_	_	_	_	
1-113	573-578	quảng	_	_	_	_	_	
1-114	579-581	bá	_	_	_	_	_	
1-115	582-586	hình	_	_	_	_	_	
1-116	587-590	ảnh	_	_	_	_	_	
1-117	591-594	đất	_	_	_	_	_	
1-118	595-600	nước,	_	_	_	_	_	
1-119	601-604	con	_	_	_	_	_	
1-120	605-610	người	_	_	_	_	_	
1-121	611-615	Việt	*[11]	LOCATION[11]	_	_	_	
1-122	616-619	Nam	*[11]	LOCATION[11]	_	_	_	
1-123	620-623	đến	_	_	_	_	_	
1-124	624-628	quốc	_	_	_	_	_	
1-125	629-632	tế.	_	_	_	_	_	
1-126	633-637	Cuộc	_	_	_	_	_	
1-127	638-641	thi	_	_	_	_	_	
1-128	642-646	cũng	_	_	_	_	_	
1-129	647-649	là	_	_	_	_	_	
1-130	650-653	sân	_	_	_	_	_	
1-131	654-658	chơi	_	_	_	_	_	
1-132	659-663	giúp	_	_	_	_	_	
1-133	664-668	sinh	_	_	_	_	_	
1-134	669-673	viên	_	_	_	_	_	
1-135	674-676	du	_	_	_	_	_	
1-136	677-680	học	_	_	_	_	_	
1-137	681-685	sinh	_	_	_	_	_	
1-138	686-690	thúc	_	_	_	_	_	
1-139	691-694	đẩy	_	_	_	_	_	
1-140	695-698	các	_	_	_	_	_	
1-141	699-702	mối	_	_	_	_	_	
1-142	703-707	quan	_	_	_	_	_	
1-143	708-710	hệ	_	_	_	_	_	
1-144	711-715	thân	_	_	_	_	_	
1-145	716-721	thiết	_	_	_	_	_	
1-146	722-727	trong	_	_	_	_	_	
1-147	728-732	cộng	_	_	_	_	_	
1-148	733-737	đồng	_	_	_	_	_	
1-149	738-743	người	*[12]	MISCELLANEOUS[12]	_	_	_	
1-150	744-748	Việt	*[12]	MISCELLANEOUS[12]	_	_	_	
1-151	749-752	tại	_	_	_	_	_	
1-152	753-755	Úc	*	LOCATION	_	_	_	
1-153	756-763	. VMISS	*	ORGANIZATION	_	_	_	
1-154	764-768	phát	_	_	_	_	_	
1-155	769-773	động	_	_	_	_	_	
1-156	774-776	từ	_	_	_	_	_	
1-157	777-787	25/7/2017,	_	_	_	_	_	
1-158	788-792	tiếp	_	_	_	_	_	
1-159	793-797	nhận	_	_	_	_	_	
1-160	798-801	hơn	_	_	_	_	_	
1-161	802-804	45	_	_	_	_	_	
1-162	805-809	đăng	_	_	_	_	_	
1-163	810-812	kí	_	_	_	_	_	
1-164	813-815	từ	_	_	_	_	_	
1-165	816-820	khắp	_	_	_	_	_	
1-166	821-824	các	_	_	_	_	_	
1-167	825-831	trường	_	_	_	_	_	
1-168	832-835	đại	_	_	_	_	_	
1-169	836-839	học	_	_	_	_	_	
1-170	840-844	toàn	_	_	_	_	_	
1-171	845-854	Melbourne	*	LOCATION	_	_	_	
1-172	855-856	.	_	_	_	_	_	
1-173	857-860	Hôm	_	_	_	_	_	
1-174	861-864	thi	_	_	_	_	_	
1-175	865-869	vòng	_	_	_	_	_	
1-176	870-873	đầu	_	_	_	_	_	
1-177	874-878	tiên	_	_	_	_	_	
1-178	879-883	‘Thử	_	_	_	_	_	
1-179	884-889	thách	_	_	_	_	_	
1-180	890-895	Ngoài	_	_	_	_	_	
1-181	896-901	trời”	_	_	_	_	_	
1-182	902-905	tạo	_	_	_	_	_	
1-183	906-910	hình	_	_	_	_	_	
1-184	911-916	trước	_	_	_	_	_	
1-185	917-920	ống	_	_	_	_	_	
1-186	921-925	kính	_	_	_	_	_	
1-187	926-929	với	_	_	_	_	_	
1-188	930-935	chiếc	_	_	_	_	_	
1-189	936-939	nón	_	_	_	_	_	
1-190	940-942	lá	_	_	_	_	_	
1-191	943-949	truyền	_	_	_	_	_	
1-192	950-956	thống,	_	_	_	_	_	
1-193	957-961	thời	_	_	_	_	_	
