#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_RL=webanno.custom.VLSPRelationextraction|relation|BT_de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity


#Text=Trái cây của bầu Đức thắng lớn tại Trung Quốc Việc đầu tư vào ngành nông nghiệp của bầu Đức không chỉ giúp Hoàng Anh Gia Lai đa dạng lĩnh vực hoạt động mà còn giúp công ty này ngày càng đạt lợi nhuận lớn. Theo thông tin từ Công ty cổ phần Agrico , sản phẩm chuối của HAGL đã chính thức được bán tại nhiều hệ thống siêu thị ở các thành phố lớn của Trung Quốc như Bắc Kinh , Thượng Hải , Thành Đô , Triết Giang , Đại Liên … Như vậy, chỉ sau 2 tháng từ khi bắt đầu thu hoạch, công ty này đã kết nối được với các đối tác lớn và uy tín của Trung Quốc như Dechang Fruit , Tai He Fruit … Tại thị trường này, sản phẩm chuối của HAGL được khách hàng đánh giá cao về chất lượng, giá tương đương với chuối nhập khẩu từ Philippine . Trước đó, chuối của Agrico được phân phối tại thị trường Campuchia thông qua hệ thống siêu thị tại Phnompenh . Còn tại Việt Nam ,hệ thống siêu thị Bách Hóa Xanh của Thế Giới Di Động đang tiêu thụ sản phẩm này của HAGL từ 1,5 tấn đến 1,8 tấn chuối/ngày, cộng với bán lẻ các đầu mối khác khoảng 300 - 400 kg/ngày. Theo kế hoạch, trong năm 2017, công ty này sẽ xuất khẩu khoảng 50 nghìn tấn chuối. Nhờ sản xuất với quy mô lớn, sản lượng và chất lượng ổn định, đáp ứng tiêu chuẩn Global Gap, HAGL nhận được sự tin tưởng của nhiều đối tác nhập khẩu lớn và uy tín tại các thị trường Trung Quốc , Nhật Bản , Hàn Quốc , Thái Lan , Canada ,… Để đáp ứng nhu cầu thị trường, HAGL đã và đang mở rộng đầu tư hệ thống kho lạnh và liên kết với các công ty vận tại có uy tín để sẵn sàng phục vụ lượng hàng xuất khẩu trong thời gian tới. Ngọc Bé
1-1	0-4	Trái	_	_	_	_	
1-2	5-8	cây	_	_	_	_	
1-3	9-12	của	_	_	_	_	
1-4	13-16	bầu	_	_	_	_	
1-5	17-20	Đức	*	PERSON	_	_	
1-6	21-26	thắng	_	_	_	_	
1-7	27-30	lớn	_	_	_	_	
1-8	31-34	tại	_	_	_	_	
1-9	35-40	Trung	*[1]	LOCATION[1]	_	_	
1-10	41-45	Quốc	*[1]	LOCATION[1]	_	_	
1-11	46-50	Việc	_	_	_	_	
1-12	51-54	đầu	_	_	_	_	
1-13	55-57	tư	_	_	_	_	
1-14	58-61	vào	_	_	_	_	
1-15	62-67	ngành	_	_	_	_	
1-16	68-72	nông	_	_	_	_	
1-17	73-79	nghiệp	_	_	_	_	
1-18	80-83	của	_	_	_	_	
1-19	84-87	bầu	_	_	_	_	
1-20	88-91	Đức	*	PERSON	_	_	
1-21	92-97	không	_	_	_	_	
1-22	98-101	chỉ	_	_	_	_	
1-23	102-106	giúp	_	_	_	_	
1-24	107-112	Hoàng	*[2]	ORGANIZATION[2]	_	_	
1-25	113-116	Anh	*[2]	ORGANIZATION[2]	_	_	
1-26	117-120	Gia	*[2]	ORGANIZATION[2]	_	_	
1-27	121-124	Lai	*[2]	ORGANIZATION[2]	_	_	
1-28	125-127	đa	_	_	_	_	
1-29	128-132	dạng	_	_	_	_	
1-30	133-137	lĩnh	_	_	_	_	
1-31	138-141	vực	_	_	_	_	
1-32	142-146	hoạt	_	_	_	_	
1-33	147-151	động	_	_	_	_	
1-34	152-154	mà	_	_	_	_	
1-35	155-158	còn	_	_	_	_	
1-36	159-163	giúp	_	_	_	_	
1-37	164-168	công	_	_	_	_	
1-38	169-171	ty	_	_	_	_	
1-39	172-175	này	_	_	_	_	
1-40	176-180	ngày	_	_	_	_	
1-41	181-185	càng	_	_	_	_	
1-42	186-189	đạt	_	_	_	_	
1-43	190-193	lợi	_	_	_	_	
1-44	194-199	nhuận	_	_	_	_	
1-45	200-204	lớn.	_	_	_	_	
1-46	205-209	Theo	_	_	_	_	
1-47	210-215	thông	_	_	_	_	
1-48	216-219	tin	_	_	_	_	
1-49	220-222	từ	_	_	_	_	
1-50	223-227	Công	*[3]	ORGANIZATION[3]	_	_	
1-51	228-230	ty	*[3]	ORGANIZATION[3]	_	_	
1-52	231-233	cổ	*[3]	ORGANIZATION[3]	_	_	
1-53	234-238	phần	*[3]	ORGANIZATION[3]	_	_	
1-54	239-245	Agrico	*[3]	ORGANIZATION[3]	_	_	
1-55	246-247	,	_	_	_	_	
1-56	248-251	sản	_	_	_	_	
1-57	252-256	phẩm	_	_	_	_	
1-58	257-262	chuối	_	_	_	_	
1-59	263-266	của	_	_	_	_	
1-60	267-271	HAGL	*	ORGANIZATION	_	_	
1-61	272-274	đã	_	_	_	_	
1-62	275-280	chính	_	_	_	_	
1-63	281-285	thức	_	_	_	_	
1-64	286-290	được	_	_	_	_	
1-65	291-294	bán	_	_	_	_	
1-66	295-298	tại	_	_	_	_	
1-67	299-304	nhiều	_	_	_	_	
1-68	305-307	hệ	_	_	_	_	
1-69	308-313	thống	_	_	_	_	
1-70	314-318	siêu	_	_	_	_	
1-71	319-322	thị	_	_	_	_	
1-72	323-324	ở	_	_	_	_	
1-73	325-328	các	_	_	_	_	
1-74	329-334	thành	_	_	_	_	
1-75	335-338	phố	_	_	_	_	
1-76	339-342	lớn	_	_	_	_	
1-77	343-346	của	_	_	_	_	
1-78	347-352	Trung	*[4]	LOCATION[4]	_	_	
1-79	353-357	Quốc	*[4]	LOCATION[4]	_	_	
1-80	358-361	như	_	_	_	_	
1-81	362-365	Bắc	*[5]	LOCATION[5]	_	_	
1-82	366-370	Kinh	*[5]	LOCATION[5]	_	_	
1-83	371-372	,	_	_	_	_	
1-84	373-379	Thượng	*[6]	LOCATION[6]	_	_	
1-85	380-383	Hải	*[6]	LOCATION[6]	_	_	
1-86	384-385	,	_	_	_	_	
1-87	386-391	Thành	*[7]	LOCATION[7]	_	_	
1-88	392-394	Đô	*[7]	LOCATION[7]	_	_	
1-89	395-396	,	_	_	_	_	
1-90	397-402	Triết	*[8]	LOCATION[8]	_	_	
1-91	403-408	Giang	*[8]	LOCATION[8]	_	_	
1-92	409-410	,	_	_	_	_	
1-93	411-414	Đại	*[9]	LOCATION[9]	_	_	
1-94	415-419	Liên	*[9]	LOCATION[9]	_	_	
1-95	420-421	…	_	_	_	_	
1-96	422-425	Như	_	_	_	_	
1-97	426-430	vậy,	_	_	_	_	
1-98	431-434	chỉ	_	_	_	_	
1-99	435-438	sau	_	_	_	_	
1-100	439-440	2	_	_	_	_	
1-101	441-446	tháng	_	_	_	_	
1-102	447-449	từ	_	_	_	_	
1-103	450-453	khi	_	_	_	_	
1-104	454-457	bắt	_	_	_	_	
