#FORMAT=WebAnno TSV 3.2


#Text=Quà tặng cuộc sống: Yêu thương không chờ đợi Hãy trân trọng gia đình, bạn gái và những người yêu thương mình, đừng bao giờ để họ phải chờ đợi đến khi bạn thành công.
1-1	0-3	Quà	
1-2	4-8	tặng	
1-3	9-13	cuộc	
1-4	14-19	sống:	
1-5	20-23	Yêu	
1-6	24-30	thương	
1-7	31-36	không	
1-8	37-40	chờ	
1-9	41-44	đợi	
1-10	45-48	Hãy	
1-11	49-53	trân	
1-12	54-59	trọng	
1-13	60-63	gia	
1-14	64-69	đình,	
1-15	70-73	bạn	
1-16	74-77	gái	
1-17	78-80	và	
1-18	81-86	những	
1-19	87-92	người	
1-20	93-96	yêu	
1-21	97-103	thương	
1-22	104-109	mình,	
1-23	110-114	đừng	
1-24	115-118	bao	
1-25	119-122	giờ	
1-26	123-125	để	
1-27	126-128	họ	
1-28	129-133	phải	
1-29	134-137	chờ	
1-30	138-141	đợi	
1-31	142-145	đến	
1-32	146-149	khi	
1-33	150-153	bạn	
1-34	154-159	thành	
1-35	160-165	công.	
