#FORMAT=WebAnno TSV 3.2


#Text=Mách chị em cách làm giò lụa dai ngon, không hàn the tại nhà Ngay tại nhà chị em cũng có thể tự làm giò lụa giòn dai, thơm ngon, không hàn the, vừa tiết kiệm lại an toàn vệ sinh thực phẩm. Cách làm giò lụa không hề khó - 600gr thịt heo xay - 1 thìa đường - 2 thìa nước mắm - 1 thìa cà phê tiêu trắng - 25gr bột bắp - 4 thìa nước đá lạnh - 10gr bột nở - 1 chút bột ngọt, bột nêm - 6 miếng lá chuối, dây buộc giò Nguyên liệu làm giò lụa - Bước 1: Thịt heo xay cho vào bát to, thêm tiêu trắng, bột nêm, nước mắm, bột ngọt, đường và trộn đều nguyên liệu. - Bước 2: Cho thịt heo xay vào túi nilon, dàn mỏng đều thành hình vuông sau đó đem cất ngăn đá khoảng 2 tiếng cho miếng thịt hơi cứng dẻo. Lá chuối lau sạch sẽ để cho khô ráo. - Bước 3: Sau 2 tiếng thì lấy thịt cho vào cối máy xay thịt, vừa xay vừa ngưng để máy không bị nóng thì giò mới không bị bở, thêm từng thìa nước đá vào xay cùng rồi cho bột nở, bột bắp, xay tiếp tới khi thấy hỗn hợp giò sống chuyển màu hồng nhạt, giò mịn có độ kết dính tốt là giò đã đạt. - Bước 4: Trải miếng màng bọc thực phẩm lên bàn sau đó đặt 3 miếng lá chuối lên trên, đặt tiếp 3 miếng là chuối còn lại lên và vét giò sống cho vào lá chuối, định hình cho thành 1 đòn giò để khi gói sẽ dễ hơn. - Bước 5: Nắm 2 mép lá chuối và màng bọc thực phẩm vào nhau rồi gói như bánh tét, gập 1 đầu giò lại và dựng cây giò lên, cắt bớt phần đầu lá chuối dư thừa rồi gập lại, phần đầu giò còn lại cũng làm tương tự. - Bước 6: Luồn dây buộc theo chiều dọc của cây giò, buộc thêm 1 dây song song với dây thứ nhất, tiếp theo bạn buộc thêm 3 dây theo chiều ngang của cây giò là xong rồi đấy, nắn lại cho cây giò được tròn đều. - Bước 7: Đặt xửng hấp lên bếp đun cho nước sôi thì cho cây giò vào luộc khoảng 40 phút là giò chín, lấy giò ra để cho ráo nước, giò nguội mới cắt miếng bày ra đĩa để thưởng thức. Chúc các bạn thực hiện thành công món giò lụa
1-1	0-4	Mách	
1-2	5-8	chị	
1-3	9-11	em	
1-4	12-16	cách	
1-5	17-20	làm	
1-6	21-24	giò	
1-7	25-28	lụa	
1-8	29-32	dai	
1-9	33-38	ngon,	
1-10	39-44	không	
1-11	45-48	hàn	
1-12	49-52	the	
1-13	53-56	tại	
1-14	57-60	nhà	
1-15	61-65	Ngay	
1-16	66-69	tại	
1-17	70-73	nhà	
1-18	74-77	chị	
1-19	78-80	em	
1-20	81-85	cũng	
1-21	86-88	có	
1-22	89-92	thể	
1-23	93-95	tự	
1-24	96-99	làm	
1-25	100-103	giò	
1-26	104-107	lụa	
1-27	108-112	giòn	
1-28	113-117	dai,	
1-29	118-122	thơm	
1-30	123-128	ngon,	
1-31	129-134	không	
1-32	135-138	hàn	
1-33	139-143	the,	
1-34	144-147	vừa	
1-35	148-152	tiết	
1-36	153-157	kiệm	
1-37	158-161	lại	
1-38	162-164	an	
1-39	165-169	toàn	
1-40	170-172	vệ	
1-41	173-177	sinh	
1-42	178-182	thực	
1-43	183-188	phẩm.	
1-44	189-193	Cách	
1-45	194-197	làm	
1-46	198-201	giò	
1-47	202-205	lụa	
1-48	206-211	không	
1-49	212-214	hề	
1-50	215-218	khó	
1-51	219-220	-	
1-52	221-226	600gr	
1-53	227-231	thịt	
1-54	232-235	heo	
1-55	236-239	xay	
1-56	240-241	-	
1-57	242-243	1	
1-58	244-248	thìa	
1-59	249-254	đường	
1-60	255-256	-	
1-61	257-258	2	
1-62	259-263	thìa	
1-63	264-268	nước	
1-64	269-272	mắm	
1-65	273-274	-	
1-66	275-276	1	
1-67	277-281	thìa	
1-68	282-284	cà	
1-69	285-288	phê	
1-70	289-293	tiêu	
1-71	294-299	trắng	
1-72	300-301	-	
1-73	302-306	25gr	
1-74	307-310	bột	
1-75	311-314	bắp	
1-76	315-316	-	
1-77	317-318	4	
1-78	319-323	thìa	
1-79	324-328	nước	
1-80	329-331	đá	
1-81	332-336	lạnh	
1-82	337-338	-	
1-83	339-343	10gr	
1-84	344-347	bột	
1-85	348-350	nở	
1-86	351-352	-	
1-87	353-354	1	
1-88	355-359	chút	
1-89	360-363	bột	
1-90	364-369	ngọt,	
1-91	370-373	bột	
1-92	374-377	nêm	
1-93	378-379	-	
1-94	380-381	6	
1-95	382-387	miếng	
1-96	388-390	lá	
1-97	391-397	chuối,	
1-98	398-401	dây	
1-99	402-406	buộc	
1-100	407-410	giò	
1-101	411-417	Nguyên	
1-102	418-422	liệu	
1-103	423-426	làm	
1-104	427-430	giò	
1-105	431-434	lụa	
1-106	435-436	-	
1-107	437-441	Bước	
1-108	442-444	1:	
1-109	445-449	Thịt	
1-110	450-453	heo	
1-111	454-457	xay	
1-112	458-461	cho	
1-113	462-465	vào	
1-114	466-469	bát	
1-115	470-473	to,	
1-116	474-478	thêm	
1-117	479-483	tiêu	
1-118	484-490	trắng,	
1-119	491-494	bột	
1-120	495-499	nêm,	
1-121	500-504	nước	
1-122	505-509	mắm,	
1-123	510-513	bột	
1-124	514-519	ngọt,	
1-125	520-525	đường	
1-126	526-528	và	
1-127	529-533	trộn	
1-128	534-537	đều	
1-129	538-544	nguyên	
1-130	545-550	liệu.	
1-131	551-552	-	
1-132	553-557	Bước	
1-133	558-560	2:	
1-134	561-564	Cho	
1-135	565-569	thịt	
1-136	570-573	heo	
1-137	574-577	xay	
1-138	578-581	vào	
1-139	582-585	túi	
1-140	586-592	nilon,	
1-141	593-596	dàn	
1-142	597-601	mỏng	
1-143	602-605	đều	
1-144	606-611	thành	
1-145	612-616	hình	
1-146	617-622	vuông	
1-147	623-626	sau	
1-148	627-629	đó	
1-149	630-633	đem	
1-150	634-637	cất	
1-151	638-642	ngăn	
1-152	643-645	đá	
1-153	646-652	khoảng	
1-154	653-654	2	
1-155	655-660	tiếng	
1-156	661-664	cho	
1-157	665-670	miếng	
1-158	671-675	thịt	
1-159	676-679	hơi	
1-160	680-684	cứng	
1-161	685-689	dẻo.	
1-162	690-692	Lá	
1-163	693-698	chuối	
1-164	699-702	lau	
1-165	703-707	sạch	
1-166	708-710	sẽ	
1-167	711-713	để	
1-168	714-717	cho	
1-169	718-721	khô	
1-170	722-726	ráo.	
1-171	727-728	-	
1-172	729-733	Bước	
1-173	734-736	3:	
1-174	737-740	Sau	
1-175	741-742	2	
1-176	743-748	tiếng	
1-177	749-752	thì	
1-178	753-756	lấy	
1-179	757-761	thịt	
1-180	762-765	cho	
1-181	766-769	vào	
1-182	770-773	cối	
1-183	774-777	máy	
1-184	778-781	xay	
1-185	782-787	thịt,	
1-186	788-791	vừa	
1-187	792-795	xay	
1-188	796-799	vừa	
1-189	800-805	ngưng	
1-190	806-808	để	
1-191	809-812	máy	
1-192	813-818	không	
1-193	819-821	bị	
1-194	822-826	nóng	
1-195	827-830	thì	
