#FORMAT=WebAnno TSV 3.2


#Text=Có vay thì có trả, nhân quả báo ứng luôn hiện hữu, làm người đừng bao giờ sống lỗi Luật nhân quả là quy luật của vũ trụ, bất cứ sinh mệnh nào trong cõi đời đều sẽ phải chịu sự chi phối của quy luật này. Từ thời xa xưa, con người rất tin vào luật nhân quả, và truyền tụng nhiều tích cổ có thật về trả nghiệp báo ứng nhằm răn dạy con người sống có đạo hơn để tránh khổ sở về sau. Luật nhân quả luôn hiện hữu trong cuộc sống này, chỉ là nó sẽ đến muộn hay đến sớm mà thôi. Làm người chớ làm điều ác kẻo gặp quả báo nặng. Khi chúng ta nhìn thấy người đứng đầu của một nước, một tỉnh, một huyện hay vùng đất nào đó, liền có thể biết kiếp trước họ là người quy y Phật Pháp Tăng Tam bảo. Khi ta thấy người trường thọ, khỏe mạnh thì hiểu họ trước đó luôn tuân thủ lời răn dạy của giới luật. Đối với người có vẻ ngoài khoan thai ổn trọng, lời nói và hành động hợp với khuôn phép của người từng được độ pháp sẽ hiểu rõ họ là người có tấm lòng thanh tịnh, hướng tới điều tốt. Khi thấy người luôn sạch sẽ, không bệnh tật thì hiểu rõ đó là người đó kiếp trước có tấm lòng hướng thiện. Thấy nhân sĩ có vóc dáng cao lớn, chúng ta biết họ luôn kính cẩn lễ phép đối với thế nhân và thánh thần.
1-1	0-2	Có	
1-2	3-6	vay	
1-3	7-10	thì	
1-4	11-13	có	
1-5	14-18	trả,	
1-6	19-23	nhân	
1-7	24-27	quả	
1-8	28-31	báo	
1-9	32-35	ứng	
1-10	36-40	luôn	
1-11	41-45	hiện	
1-12	46-50	hữu,	
1-13	51-54	làm	
1-14	55-60	người	
1-15	61-65	đừng	
1-16	66-69	bao	
1-17	70-73	giờ	
1-18	74-78	sống	
1-19	79-82	lỗi	
1-20	83-87	Luật	
1-21	88-92	nhân	
1-22	93-96	quả	
1-23	97-99	là	
1-24	100-103	quy	
1-25	104-108	luật	
1-26	109-112	của	
1-27	113-115	vũ	
1-28	116-120	trụ,	
1-29	121-124	bất	
1-30	125-127	cứ	
1-31	128-132	sinh	
1-32	133-137	mệnh	
1-33	138-141	nào	
1-34	142-147	trong	
1-35	148-151	cõi	
1-36	152-155	đời	
1-37	156-159	đều	
1-38	160-162	sẽ	
1-39	163-167	phải	
1-40	168-172	chịu	
1-41	173-175	sự	
1-42	176-179	chi	
1-43	180-184	phối	
1-44	185-188	của	
1-45	189-192	quy	
1-46	193-197	luật	
1-47	198-202	này.	
1-48	203-205	Từ	
1-49	206-210	thời	
1-50	211-213	xa	
1-51	214-218	xưa,	
1-52	219-222	con	
1-53	223-228	người	
1-54	229-232	rất	
1-55	233-236	tin	
1-56	237-240	vào	
1-57	241-245	luật	
1-58	246-250	nhân	
1-59	251-255	quả,	
1-60	256-258	và	
1-61	259-265	truyền	
1-62	266-270	tụng	
1-63	271-276	nhiều	
1-64	277-281	tích	
1-65	282-284	cổ	
1-66	285-287	có	
1-67	288-292	thật	
1-68	293-295	về	
1-69	296-299	trả	
1-70	300-306	nghiệp	
1-71	307-310	báo	
1-72	311-314	ứng	
1-73	315-319	nhằm	
1-74	320-323	răn	
1-75	324-327	dạy	
1-76	328-331	con	
1-77	332-337	người	
1-78	338-342	sống	
1-79	343-345	có	
1-80	346-349	đạo	
1-81	350-353	hơn	
1-82	354-356	để	
1-83	357-362	tránh	
1-84	363-366	khổ	
1-85	367-369	sở	
1-86	370-372	về	
1-87	373-377	sau.	
1-88	378-382	Luật	
1-89	383-387	nhân	
1-90	388-391	quả	
1-91	392-396	luôn	
1-92	397-401	hiện	
1-93	402-405	hữu	
1-94	406-411	trong	
1-95	412-416	cuộc	
1-96	417-421	sống	
1-97	422-426	này,	
1-98	427-430	chỉ	
1-99	431-433	là	
1-100	434-436	nó	
1-101	437-439	sẽ	
1-102	440-443	đến	
1-103	444-448	muộn	
1-104	449-452	hay	
